Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
15;1001675;2НДФЛ;Ремонт;0;0.59;мужской;2;0;высшее;специалист;>250;0;33;34;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001695;Поступление зарплаты на счет;Ремонт;1;0.59;женский;0;0;высшее;специалист;>250;1;98;27;Другое;ООО;женат / замужем;7;6;6;1;1;0.0769230769;0;2;2;2;0.5;3;3;60;6;2;0;0;75;1;1;1;1;0;0;0
15;1001715;Форма банка (без печати работодателя);Ремонт;1;0.32;мужской;0;0;высшее;менеджер среднего звена;< 50;0;151;52;Торговля;ООО;женат / замужем;0;0;0;0;0;0;1;0;0;0;0;0;1;23;1;0;0;43;43;0;0;0;0;0;0;0
15;1001735;Свободная форма с печатью работодателя;Ремонт;1;0.56;женский;1;0;высшее;торговый представитель;>250;0;7;40;Торговля;ООО;женат / замужем;2;1;0;0;0;0.1081081081;0;1;1;1;0.2;2;8;132;10;2;0;1;84;1;1;1;1;0;0;0
15;1001755;2НДФЛ;Покупка автомобиля;0;0.47;женский;1;0;среднее-специальное;вспомогательный персонал;>250;0;64;38;Торговля;ООО;женат / замужем;1;0;0;0;0;0.0141843972;0;0;0;0;0.3333333333;4;8;139;12;3;0;7;82;1;1;1;1;0;0;0
15;1001775;Поступление зарплаты на счет;Ремонт;0;0.37;женский;0;0;высшее;менеджер среднего звена;>250;1;175;49;Другое;ЗАО;холост / не замужем;2;2;1;1;0;0.0105263158;0;0;0;0;0.3333333333;3;6;188;9;3;2;20;95;1;1;0;0;0;0;0
15;1001795;2НДФЛ;Ремонт;1;0.45;женский;0;0;высшее;менеджер среднего звена;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001815;2НДФЛ;Ремонт;1;0.25;женский;1;0;среднее-специальное;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001835;Форма банка (без печати работодателя);Ремонт;1;0.35;мужской;2;0;Высшее/Второе высшее/Ученая степень;специалист;>=100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001855;2НДФЛ;Покупка автомобиля;0;0.19;мужской;1;0;высшее;специалист;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;1001875;2НДФЛ;Лечение;1;0.13;мужской;0;0;среднее-специальное;рабочий;>250;3;43;39;Производство;;;;;;;;;;;;;;;;;;;;;;;;;;;;
